stepStart,stepEnd,totalVector,withinVector,reweightingVector,totalNorm,withinNorm,reweightingNorm,decompositionError,lineageTurnoverTV,lineageCountStart,lineageCountEnd,condition,seed
190,195,"[0.005759492815918588,0.003219745035628052,0.001452724259341731,-0.0036560418280962015]","[0.0010810830974689089,0.00024871529035957644,0.0002464585009914146,-0.0003432497942573075]","[0.004678409718449578,0.0029710297452684694,0.001206265758350307,-0.003312792033838965]",0.007682158890151798,0.0011870813675819523,0.006568424725928496,1.2350542844127243e-16,0.04945054945054938,30,29,scarcity_mutable,14011
195,200,"[0.003297216760226096,-0.0008287063722299259,-0.0014316020902095383,0.0014879639586548032]","[0.0007470738055012734,3.354655488135319e-05,-0.0003919678287454332,0.0005675290753681514]","[0.0025501429547247945,-0.0008622529271113476,-0.0010396342614641192,0.0009204348832866868]",0.00397767694794818,0.0010173360665828182,0.0030289848087809244,8.311016090093814e-17,0.036474164133738635,29,28,scarcity_mutable,14011
200,205,"[0.002362959367168238,0.0011243144273446193,0.002462385736596684,-0.0027905468637871023]","[0.0016295819946389428,0.001407769901175521,0.000729801116603772,-0.0001434437507030463]","[0.0007333773725292558,-0.0002834554738308523,0.0017325846199928918,-0.0026471031130841124]",0.004549522526288908,0.0022782755213799407,0.0032599376885023585,8.705326542082835e-17,0.01942645698427381,28,28,scarcity_mutable,14011
205,210,"[-0.0026030383184901806,-0.001516262286617831,8.25300209685298e-05,-0.002647993684497474]","[0.00023608890579257134,0.0010981495959712536,-0.00011998017747499401,-0.00042554072841786684]","[-0.0028391272242826488,-0.002614411882589136,0.0002025101984435248,-0.0022224529560795525]",0.004011675655738795,0.0012071249567047733,0.004458262039174744,1.275991987493204e-16,0.021256038647343038,28,28,scarcity_mutable,14011
210,215,"[-0.0011293238837200015,-0.009961665140900189,-0.0068961775826120175,-0.0023041370868975286]","[0.0,0.0,0.0,0.0]","[-0.0011293238837199087,-0.009961665140900177,-0.006896177582611968,-0.002304137086897417]",0.012384524931538696,0.0,0.01238452493153863,1.5371218706247069e-16,0.08888888888888889,28,24,scarcity_mutable,14011
215,220,"[-0.004167934163502585,-0.0009021366299076794,0.004184703587725158,-0.0008704341766945234]","[-0.00031606660021953303,0.0006076235258746404,-0.0009889363298755463,0.00022214383197177023]","[-0.003851867563282954,-0.0015097601557823698,0.005173639917600632,-0.0010925780086663106]",0.006037791439209445,0.0012232936653156844,0.006713906177112641,1.3303726161403176e-16,0.07124518613607188,24,22,scarcity_mutable,14011
220,225,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,22,22,scarcity_mutable,14011
225,230,"[0.0006734187555359483,0.0016862703322290118,-0.0032207460449052983,-0.001523261610741511]","[-0.0005615892430159022,-0.000385133354476325,7.115721731498233e-05,-0.0001585338719057283]","[0.0012350079985518942,0.0020714036867053504,-0.003291903262220254,-0.001364727738835686]",0.0039988162591191,0.0007027848296020583,0.004302913766129597,1.1009238925662607e-16,0.024182076813655806,22,22,scarcity_mutable,14011
230,235,"[0.0005263365843541923,-0.00414450176558967,-0.009882159907664612,0.004625597503230494]","[0.0,0.0,0.0,0.0]","[0.0005263365843541482,-0.004144501765589583,-0.009882159907664662,0.004625597503230469]",0.011683627937740552,0.0,0.011683627937740552,1.12400395370253e-16,0.054054054054054,22,20,scarcity_mutable,14011
235,240,"[0.007057721984624066,0.002776018330449548,-0.010584832798891997,-0.0001601236520958338]","[0.0011601668722251816,-0.0015622095989865044,0.0005574553589058174,7.945280149435123e-05]","[0.005897555112398829,0.004338227929436028,-0.011142288157797794,-0.00023957645359015982]",0.013022367002496054,0.002025723383735413,0.013334517619323024,6.834364090107617e-17,0.06964285714285715,20,19,scarcity_mutable,14011
240,245,"[-0.0020865701034821216,0.00420361632159072,-0.007035516826096544,-0.000670806422269965]","[0.0016601763766847318,-0.0006546152566150286,-0.0022181096377760262,-0.001277304344562688]","[-0.0037467464801668286,0.00485823157820579,-0.004817407188320577,0.0006064979222927298]",0.00848366920868179,0.003120292212234107,0.00782405106079623,7.661443901846147e-17,0.05416666666666664,19,19,scarcity_mutable,14011
245,250,"[-0.003417761009850362,-0.0036054312153817603,0.003971615923926475,-0.003209900890665418]","[-0.0002878167820387944,-0.001620155933397374,0.001046475798202348,0.000649341636095676]","[-0.0031299442278116393,-0.0019852752819844704,0.0029251401257240593,-0.0038592425267612476]",0.007124424281609255,0.002055358826369871,0.006098201903016447,2.0101657973731958e-16,0.05952380952380948,19,18,scarcity_mutable,14011
250,255,"[0.005481482851707353,-0.0016307497388355907,0.0004677177035282698,-0.003069811756045593]","[0.00010094296229023705,-0.0015882346552129223,0.001088199000614257,-0.0018431165984530884]","[0.005380539889417193,-4.251508362251573e-05,-0.0006204812970858669,-0.0012266951575923908]",0.006507572745042779,0.0026671960299322565,0.005553538969309478,2.3780152545710324e-16,0.06593406593406598,18,17,scarcity_mutable,14011
255,260,"[0.00131873392685522,-0.003186867075123667,0.005271276034828298,0.0039596466908041195]","[0.0,0.0,0.0,0.0]","[0.001318733926855161,-0.003186867075123879,0.005271276034828291,0.003959646690804147]",0.007440452531647348,0.0,0.007440452531647438,2.2155617675336807e-16,0.038461538461538436,17,16,scarcity_mutable,14011
260,265,"[0.0012665737042492076,0.005298659799932048,-0.005630724275253074,-0.0014311548373496796]","[0.0,0.0,0.0,0.0]","[0.0012665737042492518,0.0052986597999320866,-0.00563072427525305,-0.001431154837349814]",0.00796450027660902,0.0,0.007964500276609058,1.4858491383820815e-16,0.03999999999999997,16,15,scarcity_mutable,14011
265,270,"[-0.001085715976858026,-0.002806922555817215,0.010814061480565018,-0.0003000887641835259]","[0.0,0.0,0.0,0.0]","[-0.0010857159768580627,-0.0028069225558171097,0.010814061480565032,-0.0003000887641835207]",0.011229050377863191,0.0,0.011229050377863183,1.1255438995395927e-16,0.04166666666666667,15,14,scarcity_mutable,14011
270,275,"[0.009177583256527622,-0.00907824759217668,0.0014039582139900308,-0.004309552142558237]","[-0.00163986170317892,0.00039264706045214924,-0.000584895260701623,0.0002893566539137178]","[0.010817444959706535,-0.009470894652628873,0.0019888534746917118,-0.004598908796471922]",0.013681591724335886,0.001808078499067434,0.015225651422501915,7.979521752719312e-17,0.1556064073226544,14,11,scarcity_mutable,14011
