seed,dimension,sign,center_unit,mutant_unit,actual_step_unit,initial_mutant_fraction,final_mutant_fraction,frequency_change,extinct,final_population
14087,exploration,-1,0.4227644060517611,0.3627644060517611,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,4
14087,exploration,1,0.4227644060517611,0.4827644060517611,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,4
14087,reproduction_threshold,-1,0.4467126959706587,0.3867126959706587,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,5
14087,reproduction_threshold,1,0.4467126959706587,0.5067126959706587,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,5
14101,forage_weight,-1,0.5113019874438091,0.45130198744380906,0.06,0.1,0.0,-0.1,False,3
14101,forage_weight,1,0.5113019874438091,0.571301987443809,0.05999999999999994,0.1,0.2,0.1,False,5
14101,hazard_avoidance,-1,0.33527620827705457,0.27527620827705457,0.06,0.1,0.2,0.1,False,5
14101,hazard_avoidance,1,0.33527620827705457,0.39527620827705456,0.06,0.1,0.0,-0.1,False,4
14101,exploration,-1,0.4527493064534806,0.3927493064534806,0.06,0.1,0.0,-0.1,False,4
14101,exploration,1,0.4527493064534806,0.5127493064534806,0.06,0.1,0.0,-0.1,False,5
14101,reproduction_threshold,-1,0.4421822521529977,0.3821822521529977,0.06,0.1,0.0,-0.1,False,3
14101,reproduction_threshold,1,0.4421822521529977,0.5021822521529977,0.06,0.1,0.0,-0.1,False,3
14119,forage_weight,-1,0.5298183341146242,0.4698183341146242,0.06,0.1,0.14285714285714285,0.042857142857142844,False,7
14119,forage_weight,1,0.5298183341146242,0.5898183341146241,0.05999999999999994,0.1,0.0,-0.1,False,7
14119,hazard_avoidance,-1,0.41102097333476806,0.35102097333476806,0.06,0.1,0.0,-0.1,False,7
14119,hazard_avoidance,1,0.41102097333476806,0.47102097333476806,0.06,0.1,0.14285714285714285,0.042857142857142844,False,7
14119,exploration,-1,0.4091588800008478,0.3491588800008478,0.06,0.1,0.25,0.15,False,8
14119,exploration,1,0.4091588800008478,0.4691588800008478,0.06,0.1,0.125,0.024999999999999994,False,8
14119,reproduction_threshold,-1,0.44705055995089465,0.38705055995089466,0.06,0.1,0.14285714285714285,0.042857142857142844,False,7
14119,reproduction_threshold,1,0.44705055995089465,0.5070505599508947,0.06,0.1,0.14285714285714285,0.042857142857142844,False,7
14137,forage_weight,-1,0.5499655614915309,0.48996556149153087,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,8
14137,forage_weight,1,0.5499655614915309,0.6099655614915309,0.06000000000000005,0.09523809523809523,0.0,-0.09523809523809523,False,6
