cadenceSteps,condition,seed,founderId,stepStart,stepEnd,deltaP,midpointCell,fluxMagnitude,sourceCell,targetCell
5,scarcity_mutable,14003,45,215,220,-0.024390243902439025,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,215,220,0.0038510911424903677,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,215,220,0.005776636713735558,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,51,215,220,0.0019255455712451838,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,215,220,0.0019255455712451838,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,215,220,0.0038510911424903677,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,58,215,220,-0.024390243902439025,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,215,220,0.0038510911424903677,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,69,215,220,0.0019255455712451838,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,220,225,0.003987240829346095,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,220,225,0.003987240829346095,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,220,225,0.003987240829346095,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,220,225,0.003987240829346095,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,220,225,0.003987240829346095,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,220,225,0.003987240829346095,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,220,225,0.003987240829346095,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,220,225,0.011961722488038284,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,25,220,225,-0.01834130781499202,1.1.0.1,0.002565959551498053,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,220,225,-0.01036682615629983,2.1.1.1,0.0009663634312143912,2.1.1.1,2.1.1.1
