from_rule,to_rule,syntactic_distance,observable_distance,observer_id
67,99,0.125,0.24145191446654063,OBSERVER-EBID-CORE
67,195,0.125,0.04724271136698258,OBSERVER-EBID-CORE
68,69,0.125,0.17257986139535425,OBSERVER-EBID-CORE
68,70,0.125,0.1761433598521301,OBSERVER-EBID-CORE
68,76,0.125,0.08290659464991681,OBSERVER-EBID-CORE
68,84,0.125,0.08230898024424894,OBSERVER-EBID-CORE
68,100,0.125,0.10903805807183349,OBSERVER-EBID-CORE
68,196,0.125,0.010481568662137123,OBSERVER-EBID-CORE
69,71,0.125,0.10029894307629579,OBSERVER-EBID-CORE
69,77,0.125,0.018511159504977732,OBSERVER-EBID-CORE
69,85,0.125,0.15652509572678516,OBSERVER-EBID-CORE
69,101,0.125,0.26990506423326244,OBSERVER-EBID-CORE
69,197,0.125,0.0019686270466865966,OBSERVER-EBID-CORE
70,71,0.125,0.10165754226771825,OBSERVER-EBID-CORE
70,78,0.125,0.007498322341227717,OBSERVER-EBID-CORE
70,86,0.125,0.27473671615988454,OBSERVER-EBID-CORE
70,102,0.125,0.18238979871485494,OBSERVER-EBID-CORE
70,198,0.125,0.0018510936521722147,OBSERVER-EBID-CORE
71,79,0.125,0.10196786745013492,OBSERVER-EBID-CORE
71,87,0.125,0.23046344667061916,OBSERVER-EBID-CORE
71,103,0.125,0.11098507589702852,OBSERVER-EBID-CORE
71,199,0.125,0.1016757448086038,OBSERVER-EBID-CORE
72,73,0.125,0.26060070093187226,OBSERVER-EBID-CORE
72,74,0.125,0.1908012895772994,OBSERVER-EBID-CORE
72,76,0.125,0.2829796068526491,OBSERVER-EBID-CORE
72,88,0.125,0.19116046886378546,OBSERVER-EBID-CORE
72,104,0.125,0.09295972997387904,OBSERVER-EBID-CORE
72,200,0.125,0.17720734766998944,OBSERVER-EBID-CORE
73,75,0.125,0.21172297409262672,OBSERVER-EBID-CORE
73,77,0.125,0.12837916076508868,OBSERVER-EBID-CORE
73,89,0.125,0.2122318371028713,OBSERVER-EBID-CORE
73,105,0.125,0.11408087420362256,OBSERVER-EBID-CORE
73,201,0.125,0.048240584878541236,OBSERVER-EBID-CORE
74,75,0.125,0.21747084703127362,OBSERVER-EBID-CORE
74,78,0.125,0.21371271207559764,OBSERVER-EBID-CORE
74,90,0.125,0.09154615983641172,OBSERVER-EBID-CORE
74,106,0.125,0.15832202727841493,OBSERVER-EBID-CORE
74,202,0.125,0.17326390138240202,OBSERVER-EBID-CORE
75,79,0.125,0.2732266997227352,OBSERVER-EBID-CORE
75,91,0.125,0.24118580135935816,OBSERVER-EBID-CORE
75,107,0.125,0.07695524518827822,OBSERVER-EBID-CORE
75,203,0.125,0.2738096663898259,OBSERVER-EBID-CORE
76,77,0.125,0.08655675933608155,OBSERVER-EBID-CORE
76,78,0.125,0.10383274361684622,OBSERVER-EBID-CORE
76,92,0.125,0.10634698462614739,OBSERVER-EBID-CORE
76,108,0.125,0.0778024242487176,OBSERVER-EBID-CORE
76,204,0.125,0.05743250969649,OBSERVER-EBID-CORE
77,79,0.125,0.019973696287664232,OBSERVER-EBID-CORE
77,93,0.125,0.022292142879164305,OBSERVER-EBID-CORE
77,109,0.125,0.12909204307378172,OBSERVER-EBID-CORE
77,205,0.125,0.08511193397901325,OBSERVER-EBID-CORE
